D‚formation,Contrainte (MPa)
4.99945E-06,-0.046429544
3.90376E-05,1.848679811
0.000102509,5.556712483
0.000165205,9.745213614
0.000225475,13.53670229
0.000295025,17.43116968
0.000368103,21.99704174
0.000426256,26.15285438
0.000506075,30.64362338
0.000570241,35.11012363
0.000630804,39.05104802
0.000704522,43.39023963
0.000772089,47.73996844
0.000835827,51.66641175
0.000898463,56.02993475
0.000966712,60.17035603
0.00103001,64.2023613
0.001097054,68.53298452
0.001164835,72.59459082
0.001232307,76.5500109
0.001291637,80.86031134
0.001360994,84.63913367
0.001426896,88.55022945
0.001492548,92.68707013
0.001557336,96.34221244
0.001624314,99.99574713
0.001693394,103.8824009
0.001751814,106.8533039
0.001823702,109.9144067
0.001890592,112.955763
0.001958154,115.1058378
0.002022306,117.2285642
0.002089988,119.2985337
0.00215351,120.2132427
0.002218026,121.7619017
0.002280425,122.880375
0.002350458,123.7081933
0.002413661,124.8066695
0.002481944,125.7819793
0.00254562,126.2487769
0.002613248,127.2786977
0.002680463,127.8275965
0.002746916,128.4354197
0.002810676,129.2891478
0.002874713,129.5420593
0.00293767,130.1688127
0.002999882,130.9965976
0.003067151,131.2218372
0.003137507,131.7981783
0.003199141,132.4498957
0.00326726,132.6043856
0.003324806,133.0847457
0.003395254,133.7074696
0.003460782,133.8757746
0.003525938,134.3940577
0.003598023,134.8004403
0.003659042,134.9543101
0.003727976,135.5376015
0.003787688,135.816928
0.003851827,136.0372571
0.003915485,136.5485837
0.003984037,136.6550705
0.00404843,136.9111472
0.004116715,137.5363327
0.004175356,137.5274428
0.00424797,137.8188891
0.004316805,138.2914032
0.004378041,138.3817512
0.004446137,138.7153108
0.004511386,139.2375754
0.004570602,139.0841211
0.004637502,139.594982
0.004700914,139.9229004
0.004769336,139.8962306
0.004836362,140.3482758
0.004898702,140.6126452
0.004819522,133.5010934
0.004689648,124.7780268
0.004549744,115.9465399
0.004423821,107.1261958
0.00429444,98.6827
0.004157863,89.97276364
0.004021214,81.22992959
0.003890389,73.02849704
0.003761096,64.51824548
0.003631646,56.0884186
0.003488023,47.87673279
0.003367122,39.18181407
0.003240771,30.94145214
0.003090576,22.88932335
0.002968813,14.36642381
0.002834321,6.348848757
0.002701928,-1.803627185
0.002572466,-10.11907388
0.002443872,-18.0496825
0.002301453,-26.42676932
0.002175327,-34.58070828
0.002046152,-42.27730113
0.001915741,-50.50277486
0.001783335,-58.46252832
0.001656799,-65.93902381
0.001522879,-73.89329258
0.00138558,-80.74089047
0.00125516,-87.15304133
0.001126637,-93.01731847
0.00099101,-97.59631849
0.000858894,-101.4633739
0.000726399,-105.0700894
0.000594741,-107.7795584
0.000462553,-110.3580505
0.000331387,-112.6147562
0.000199307,-114.3725411
7.15977E-05,-116.356666
-6.54806E-05,-117.970945
-0.000197074,-119.2823448
-0.000326331,-120.8069147
-0.000457995,-121.8935008
-0.000588475,-123.0852584
-0.000719103,-124.4389783
-0.000854171,-125.1229002
-0.00098255,-126.142551
-0.001114687,-127.2350248
-0.001241407,-127.8823202
-0.00136856,-128.9045014
-0.001508383,-129.6725727
-0.001637757,-130.2882983
-0.001765327,-131.1986416
-0.001897966,-131.7276415
-0.00202775,-132.3387927
-0.002157943,-133.2237983
-0.002288627,-133.6223578
-0.002425916,-134.3063445
-0.002551021,-135.0412487
-0.002690008,-135.3384595
-0.002817889,-136.1161055
-0.002945843,-136.6143665
-0.003073656,-137.0831142
-0.00320875,-137.6606724
-0.003336574,-138.1177075
-0.003472196,-138.4656876
-0.00360275,-139.1883322
-0.003734553,-139.4718991
-0.003859971,-139.8913535
-0.003997173,-140.4441023
-0.004125445,-140.7327426
-0.004256711,-141.2756076
-0.004381398,-141.8182597
-0.004517763,-141.9693152
-0.004646116,-142.5813725
-0.004776419,-142.9801763
-0.004910572,-143.1655366
-0.004819395,-135.2938325
-0.004682269,-126.4693837
-0.004549912,-117.6508079
-0.004418638,-109.0707733
-0.004286465,-100.1249807
-0.004150117,-91.29333943
-0.004018753,-82.78062842
-0.003887193,-73.72408152
-0.003749254,-65.17609898
-0.003620205,-56.4763762
-0.003490726,-47.69417851
-0.003348555,-39.11194538
-0.00322369,-30.3055353
-0.003089802,-21.40233417
-0.002953722,-12.97928747
-0.002822529,-4.309713559
-0.002696058,4.249014751
-0.002558131,12.84041923
-0.002430033,21.45405767
-0.002300823,29.8254195
-0.002170366,38.14623743
-0.002033614,46.93971141
-0.001907937,54.99943567
-0.001774775,63.5918803
-0.001642823,71.69551755
-0.00151342,79.56735942
-0.001384481,87.29793145
-0.001249973,94.52869958
-0.001115293,100.6278245
-0.00097407,106.5375533
-0.000850825,110.9431604
-0.000714101,114.7044305
-0.000586871,118.1758932
-0.000452805,120.9375262
-0.000319653,123.4767632
-0.00018762,125.9153635
-5.96033E-05,127.7218112
7.23811E-05,129.7068901
0.000205253,131.5278398
0.000329975,132.9320576
0.000465525,134.5588322
0.00060055,135.9818904
0.000727317,137.1178888
0.000857749,138.6270694
0.000991845,139.6592638
0.001117709,140.742286
0.001248967,142.033695
0.001383112,142.760532
0.001511374,143.6192436
0.001641667,144.761115
0.001772438,145.4506971
0.001906356,146.4893845
0.00203419,147.4027552
0.002174072,147.932847
0.002304727,148.9896567
0.002430116,149.6597782
0.002563638,150.1689772
0.002693992,151.0890999
0.002820788,151.6710133
0.002953471,152.2810287
0.003086771,153.122305
0.003215965,153.3894304
0.003346942,154.0896811
0.003480337,154.7858356
0.003609633,155.0756826
0.003741893,155.7447289
0.003875791,156.3665551
0.004003458,156.6121843
0.004133394,157.3266239
0.004257759,157.6780447
0.004390685,158.1477215
0.004524658,158.7574133
0.004657082,158.9455921
0.004787245,159.4541231
0.004912151,159.7167784
0.004803455,150.5838008
0.004671013,141.9768835
0.004535602,133.3770563
0.004406307,124.2750181
0.00426887,115.7791077
0.004143204,107.204374
0.004005001,98.32703044
0.003868671,89.93533122
0.003738408,81.14267358
0.003605691,72.3637976
0.003474083,64.04269363
0.00333906,55.22131602
0.003210476,46.50052511
0.003082323,38.1374018
0.002947835,29.28083617
0.002817427,20.78108151
0.00268623,12.51403314
0.002552896,3.629838212
0.002421821,-4.692121964
0.002288471,-13.00275387
0.002161307,-21.66870584
0.00202719,-29.80672104
0.001896897,-38.05628605
0.001769885,-46.48861413
0.001631586,-54.46823105
0.001500676,-62.82791156
0.001373624,-70.7402946
0.001242454,-78.37061815
0.001105954,-85.70333842
0.000977281,-92.32398465
0.000843405,-98.05159349
0.000708465,-103.3249149
0.000578952,-107.4634091
0.00044676,-111.1331014
0.000317195,-114.3990229
0.00017787,-117.0540522
5.24607E-05,-119.6359683
-8.08722E-05,-121.9025932
-0.000210027,-123.7232151
-0.00034388,-125.7421396
-0.000469094,-127.319623
-0.000608474,-128.9063784
-0.000738573,-130.6502981
-0.000864389,-131.7892174
-0.001006225,-133.0474177
-0.001128871,-134.5919595
-0.001256313,-135.6133578
-0.001396979,-136.7072826
-0.001524673,-137.8456883
-0.001652845,-138.6734731
-0.001787994,-139.8089663
-0.001918435,-140.8355507
-0.002046596,-141.4621246
-0.002179107,-142.6034741
-0.00230858,-143.2953067
-0.002438843,-143.9414518
-0.002570475,-144.8985183
-0.00270043,-145.489925
-0.002832087,-146.174467
-0.002964122,-147.0831547
-0.003091574,-147.4398285
-0.003224881,-148.198277
-0.003355067,-148.9745514
-0.003485013,-149.2594565
-0.003619824,-149.964242
-0.00374273,-150.4758212
-0.003882733,-150.8439132
-0.004008733,-151.630969
